latitude,longitude,pollutant_min,pollutant_max,pollutant_avg
16.172806,75.659694,18.0,54.0,51.0
15.888653,74.541751,8.0,11.0,10.0
15.888653,74.541751,24.0,25.0,25.0
15.888653,74.541751,19.0,20.0,19.0
12.9352049,77.6814488,64.0,317.0,104.0
12.9352049,77.6814488,18.0,58.0,32.0
12.9756843,77.5660749,90.0,92.0,91.0
13.029152,77.585901,60.0,103.0,76.0
13.029152,77.585901,4.0,62.0,28.0
12.938539,77.5901,10.0,24.0,17.0
12.938539,77.5901,21.0,44.0,40.0
12.920984,77.584908,36.0,70.0,56.0
12.7816279,77.6299145,22.0,22.0,22.0
28.3153,76.9143,5.0,139.0,51.0
28.3153,76.9143,7.0,35.0,14.0
28.3153,76.9143,7.0,23.0,12.0
28.3153,76.9143,1.0,97.0,40.0
28.52123,76.37138,10.0,14.0,12.0
29.5364,75.0158,76.0,110.0,94.0
28.2068,76.7997,115.0,464.0,348.0
28.2068,76.7997,1.0,3.0,1.0
28.39072,77.30059,171.0,177.0,174.0
28.376058,77.315741,10.0,10.0,10.0
28.376058,77.315741,10.0,111.0,47.0
29.14056,75.744941,6.0,15.0,11.0
29.307814,76.337619,103.0,234.0,166.0
29.307814,76.337619,87.0,129.0,109.0
29.6953,77.0027,128.0,328.0,233.0
28.4275,77.1465,82.0,430.0,295.0
28.4275,77.1465,24.0,107.0,104.0
28.4501238,77.0263051,7.0,36.0,21.0
23.10844,77.511428,3.0,24.0,8.0
22.624758,75.675238,64.0,218.0,218.0
23.331731,75.045981,108.0,167.0,131.0
24.58434363,80.8549414,69.0,71.0,70.0
24.10897,82.64558,103.0,260.0,162.0
15.3714823,75.1160168,56.0,66.0,59.0
17.336318,76.847397,14.0,20.0,16.0
15.34763,76.181767,29.0,35.0,30.0
12.415911,75.73505,7.0,7.0,7.0
12.21041,76.37376,10.0,30.0,22.0
23.218135,79.95777,73.0,299.0,161.0
23.50016,80.23284,51.0,226.0,118.0
23.10844,77.511428,108.0,371.0,194.0
11.55358,76.55521,28.0,58.0,43.0
11.55358,76.55521,14.0,36.0,20.0
