country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Patna,"Samanpura, Patna - BSPCB","13-01-2026 14:00:00",25.596727,85.085624,PM2.5,63,232,139
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","13-01-2026 14:00:00",25.03280,85.41948,PM10,9,170,80
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","13-01-2026 14:00:00",25.03280,85.41948,OZONE,30,34,32
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","13-01-2026 14:00:00",28.580280,77.233829,OZONE,1,159,158
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","13-01-2026 14:00:00",28.611281,77.237738,NO2,3,129,59
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","13-01-2026 14:00:00",28.611281,77.237738,CO,11,141,50
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","13-01-2026 14:00:00",28.6514781,77.1473105,NO2,31,91,59
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","13-01-2026 14:00:00",28.6514781,77.1473105,NH3,13,21,17
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","13-01-2026 14:00:00",28.5504249,77.2159377,PM2.5,97,490,362
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","13-01-2026 14:00:00",28.5504249,77.2159377,PM10,134,500,353
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","13-01-2026 14:00:00",28.5504249,77.2159377,SO2,29,41,35
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","13-01-2026 14:00:00",28.5504249,77.2159377,OZONE,15,22,17
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","13-01-2026 14:00:00",28.710508,77.249485,NH3,7,11,9
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","13-01-2026 14:00:00",28.710508,77.249485,OZONE,2,69,12
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","13-01-2026 14:00:00",28.531346,77.190156,PM10,105,374,217
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","13-01-2026 14:00:00",28.531346,77.190156,SO2,4,18,10
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","13-01-2026 14:00:00",28.531346,77.190156,CO,5,113,65
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","13-01-2026 14:00:00",28.672342,77.315260,PM2.5,163,500,390
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","13-01-2026 14:00:00",28.672342,77.315260,NO2,42,143,79
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","13-01-2026 14:00:00",28.672342,77.315260,SO2,7,42,15
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","13-01-2026 14:00:00",28.699793,77.165453,PM2.5,120,483,383
